# Photo-pion interaction rate for the CMB.txt
#  (redshift dependent)z	log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
0.00	6.00	0.000000e+00	0.000000e+00
0.00	6.04	0.000000e+00	0.000000e+00
0.00	6.08	0.000000e+00	0.000000e+00
0.00	6.12	0.000000e+00	0.000000e+00
0.00	6.16	0.000000e+00	0.000000e+00
0.00	6.20	0.000000e+00	0.000000e+00
0.00	6.24	0.000000e+00	0.000000e+00
0.00	6.28	0.000000e+00	0.000000e+00
0.00	6.32	0.000000e+00	0.000000e+00
0.00	6.36	0.000000e+00	0.000000e+00
0.00	6.40	0.000000e+00	0.000000e+00
0.00	6.44	0.000000e+00	0.000000e+00
0.00	6.48	0.000000e+00	0.000000e+00
0.00	6.52	0.000000e+00	0.000000e+00
0.00	6.56	0.000000e+00	0.000000e+00
0.00	6.60	0.000000e+00	0.000000e+00
0.00	6.64	0.000000e+00	0.000000e+00
0.00	6.68	0.000000e+00	0.000000e+00
0.00	6.72	0.000000e+00	0.000000e+00
0.00	6.76	0.000000e+00	0.000000e+00
0.00	6.80	0.000000e+00	0.000000e+00
0.00	6.84	0.000000e+00	0.000000e+00
0.00	6.88	0.000000e+00	0.000000e+00
0.00	6.92	0.000000e+00	0.000000e+00
0.00	6.96	0.000000e+00	0.000000e+00
0.00	7.00	0.000000e+00	0.000000e+00
0.00	7.04	0.000000e+00	0.000000e+00
0.00	7.08	0.000000e+00	0.000000e+00
0.00	7.12	0.000000e+00	0.000000e+00
0.00	7.16	0.000000e+00	0.000000e+00
0.00	7.20	0.000000e+00	0.000000e+00
0.00	7.24	0.000000e+00	0.000000e+00
0.00	7.28	0.000000e+00	0.000000e+00
0.00	7.32	0.000000e+00	0.000000e+00
0.00	7.36	0.000000e+00	0.000000e+00
0.00	7.40	0.000000e+00	0.000000e+00
0.00	7.44	0.000000e+00	0.000000e+00
0.00	7.48	0.000000e+00	0.000000e+00
0.00	7.52	0.000000e+00	0.000000e+00
0.00	7.56	0.000000e+00	0.000000e+00
0.00	7.60	0.000000e+00	0.000000e+00
0.00	7.64	0.000000e+00	0.000000e+00
0.00	7.68	0.000000e+00	0.000000e+00
0.00	7.72	0.000000e+00	0.000000e+00
0.00	7.76	0.000000e+00	0.000000e+00
0.00	7.80	0.000000e+00	0.000000e+00
0.00	7.84	0.000000e+00	0.000000e+00
0.00	7.88	0.000000e+00	0.000000e+00
0.00	7.92	0.000000e+00	0.000000e+00
0.00	7.96	0.000000e+00	0.000000e+00
0.00	8.00	0.000000e+00	0.000000e+00
0.00	8.04	0.000000e+00	0.000000e+00
0.00	8.08	0.000000e+00	0.000000e+00
0.00	8.12	0.000000e+00	0.000000e+00
0.00	8.16	0.000000e+00	0.000000e+00
0.00	8.20	0.000000e+00	0.000000e+00
