# Photo-pion interaction rate for the PF1.txt
#  (redshift dependent)z	log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
0.00	6.00	4.521718e+11	4.647065e+11
0.00	6.04	7.440961e+11	7.659196e+11
0.00	6.08	1.176297e+12	1.212729e+12
0.00	6.12	1.789813e+12	1.848140e+12
0.00	6.16	2.628807e+12	2.718569e+12
0.00	6.20	3.733298e+12	3.866104e+12
0.00	6.24	5.136635e+12	5.325794e+12
0.00	6.28	6.859256e+12	7.118845e+12
0.00	6.32	8.903934e+12	9.247361e+12
0.00	6.36	1.125566e+13	1.169409e+13
0.00	6.40	1.387866e+13	1.441883e+13
0.00	6.44	1.672169e+13	1.736418e+13
0.00	6.48	1.972032e+13	2.045767e+13
0.00	6.52	2.280401e+13	2.361951e+13
0.00	6.56	2.590078e+13	2.676792e+13
0.00	6.60	2.894289e+13	2.982549e+13
0.00	6.64	3.187064e+13	3.272386e+13
0.00	6.68	3.463322e+13	3.540532e+13
0.00	6.72	3.719187e+13	3.782684e+13
0.00	6.76	3.951647e+13	3.995666e+13
0.00	6.80	4.158705e+13	4.177702e+13
0.00	6.84	4.339117e+13	4.328028e+13
0.00	6.88	4.492254e+13	4.446840e+13
0.00	6.92	4.618109e+13	4.535172e+13
0.00	6.96	4.717093e+13	4.594617e+13
0.00	7.00	4.790049e+13	4.627304e+13
0.00	7.04	4.838216e+13	4.635690e+13
0.00	7.08	4.863097e+13	4.622431e+13
0.00	7.12	4.866543e+13	4.590344e+13
0.00	7.16	4.850570e+13	4.542208e+13
0.00	7.20	4.817392e+13	4.480793e+13
0.00	7.24	4.769312e+13	4.408716e+13
0.00	7.28	4.708659e+13	4.328434e+13
0.00	7.32	4.637741e+13	4.242206e+13
0.00	7.36	4.558761e+13	4.152038e+13
0.00	7.40	4.473794e+13	4.059718e+13
0.00	7.44	4.384729e+13	3.966763e+13
0.00	7.48	4.293256e+13	3.874465e+13
0.00	7.52	4.200844e+13	3.783871e+13
0.00	7.56	4.108742e+13	3.695820e+13
0.00	7.60	4.017983e+13	3.610953e+13
0.00	7.64	3.929398e+13	3.529736e+13
0.00	7.68	3.843629e+13	3.452488e+13
0.00	7.72	3.761158e+13	3.379400e+13
0.00	7.76	3.682317e+13	3.310560e+13
0.00	7.80	3.607323e+13	3.245973e+13
0.00	7.84	3.536290e+13	3.185579e+13
0.00	7.88	3.469254e+13	3.129270e+13
0.00	7.92	3.406188e+13	3.076906e+13
0.00	7.96	3.347017e+13	3.028322e+13
0.00	8.00	3.291634e+13	2.983341e+13
0.00	8.04	3.239907e+13	2.941781e+13
0.00	8.08	3.191689e+13	2.903458e+13
0.00	8.12	3.146822e+13	2.868191e+13
0.00	8.16	3.105145e+13	2.835803e+13
0.00	8.20	3.066497e+13	2.806126e+13
0.00	8.24	3.030716e+13	2.778997e+13
0.00	8.28	2.997647e+13	2.754263e+13
0.00	8.32	2.967137e+13	2.731779e+13
0.00	8.36	2.939040e+13	2.711406e+13
0.00	8.40	2.913216e+13	2.693016e+13
0.00	8.44	2.889534e+13	2.676487e+13
0.00	8.48	2.867866e+13	2.661706e+13
0.00	8.52	2.848095e+13	2.648566e+13
0.00	8.56	2.830110e+13	2.636968e+13
0.00	8.60	2.813808e+13	2.626819e+13
0.00	8.64	2.799092e+13	2.618036e+13
0.00	8.68	2.785872e+13	2.610538e+13
0.00	8.72	2.774066e+13	2.604253e+13
0.00	8.76	2.763597e+13	2.599113e+13
0.00	8.80	2.754394e+13	2.595057e+13
0.00	8.84	2.746392e+13	2.592029e+13
0.00	8.88	2.739531e+13	2.589975e+13
0.00	8.92	2.733757e+13	2.588850e+13
0.00	8.96	2.729020e+13	2.588608e+13
0.00	9.00	2.725272e+13	2.589210e+13
0.00	9.04	2.722472e+13	2.590621e+13
0.00	9.08	2.720581e+13	2.592805e+13
0.00	9.12	2.719564e+13	2.595734e+13
0.00	9.16	2.719386e+13	2.599379e+13
0.00	9.20	2.720019e+13	2.603714e+13
0.00	9.24	2.721435e+13	2.608716e+13
0.00	9.28	2.723607e+13	2.614364e+13
0.00	9.32	2.726513e+13	2.620636e+13
0.00	9.36	2.730129e+13	2.627516e+13
0.00	9.40	2.734436e+13	2.634986e+13
0.00	9.44	2.739415e+13	2.643030e+13
0.00	9.48	2.745048e+13	2.651635e+13
0.00	9.52	2.751318e+13	2.660785e+13
0.00	9.56	2.758210e+13	2.670469e+13
0.00	9.60	2.765709e+13	2.680676e+13
0.00	9.64	2.773803e+13	2.691393e+13
0.00	9.68	2.782477e+13	2.702610e+13
0.00	9.72	2.791719e+13	2.714319e+13
0.00	9.76	2.801519e+13	2.726510e+13
0.00	9.80	2.811865e+13	2.739173e+13
0.00	9.84	2.822747e+13	2.752302e+13
0.00	9.88	2.834155e+13	2.765889e+13
0.00	9.92	2.846080e+13	2.779926e+13
0.00	9.96	2.858513e+13	2.794406e+13
0.00	10.00	2.871445e+13	2.809323e+13
0.00	10.04	2.884870e+13	2.824672e+13
